class,rare,condition,recall,ci_lo,ci_hi
Shadowing,False,clean_nw,0.7484,0.6882,0.8073
Shadowing,False,oversample_nw,0.7317,0.6706,0.7885
Shadowing,False,physics_nw,0.74,0.6797,0.8005
Shadowing,False,perturb_nw,0.7275,0.6667,0.7881
Soiling,True,clean,0.3333,0.1739,0.4849
Soiling,True,oversample,0.2903,0.1481,0.4394
Soiling,True,randaugment,0.4194,0.2499,0.5914
Soiling,True,physics,0.3548,0.2121,0.5054
Soiling,True,perturb,0.3333,0.1935,0.4706
Soiling,True,logit_adj,0.3978,0.2473,0.5447
Soiling,True,clean_nw,0.2688,0.125,0.425
Soiling,True,oversample_nw,0.3333,0.1954,0.4762
Soiling,True,physics_nw,0.3118,0.1728,0.4598
Soiling,True,perturb_nw,0.3441,0.1943,0.4938
Vegetation,False,clean,0.6965,0.6518,0.7421
Vegetation,False,oversample,0.6951,0.647,0.7433
Vegetation,False,randaugment,0.7276,0.681,0.7731
Vegetation,False,physics,0.7209,0.6736,0.7686
Vegetation,False,perturb,0.71,0.6608,0.7604
Vegetation,False,logit_adj,0.6789,0.6337,0.7262
Vegetation,False,clean_nw,0.7141,0.6667,0.7589
Vegetation,False,oversample_nw,0.7236,0.6761,0.77
Vegetation,False,physics_nw,0.7317,0.6837,0.7768
Vegetation,False,perturb_nw,0.7331,0.6903,0.7782
